Downloading zstandard (5.3MiB)
Downloading pydantic-core (2.0MiB)
 Downloaded pydantic-core
 Downloaded zstandard
Installed 45 packages in 24ms
  mtrag-be461bfeda-t7: search=no think=no fallback=no 557 ms
  mtrag-5b2404d71f-t2: search=yes think=yes fallback=no 918 ms
  mtrag-f05ba9633e-t1: search=yes think=yes fallback=no 1042 ms
  mtrag-1dcbbeb35d-t3: search=no think=no fallback=no 386 ms
  mtrag-d5f0e7023a-t2: search=yes think=yes fallback=no 947 ms
  mtrag-94d04f2cd4-t8: search=no think=yes fallback=no 542 ms
  mtrag-5600fe1c05-t4: search=yes think=yes fallback=no 853 ms
  mtrag-62a5aee8a4-t1: search=yes think=yes fallback=no 651 ms
  mtrag-717ca9138f-t3: search=yes think=yes fallback=no 759 ms
  mtrag-8040ccdfc0-t4: search=yes think=yes fallback=no 1106 ms
  mtrag-1534a09527-t1: search=yes think=yes fallback=no 822 ms
  mtrag-c1e53df98a-t5: search=yes think=yes fallback=no 935 ms
  mtrag-d5b1e735a0-t5: search=yes think=yes fallback=no 788 ms
  mtrag-95a0893567-t2: search=yes think=no fallback=no 529 ms
  mtrag-cfbcfa3e38-t2: search=yes think=yes fallback=no 783 ms
  mtrag-ca6f0197d2-t3: search=yes think=yes fallback=no 1013 ms
  mtrag-a3f07e9ed5-t4: search=yes think=yes fallback=no 977 ms
  mtrag-766728e82e-t2: search=yes think=yes fallback=no 776 ms
  mtrag-af57ff6995-t3: search=yes think=yes fallback=no 943 ms
  mtrag-dc1aaac0b3-t2: search=yes think=yes fallback=no 1197 ms
  mtrag-91715ec6ec-t8: search=yes think=yes fallback=no 1146 ms
  mtrag-4da5a7f42f-t6: search=yes think=yes fallback=no 1054 ms
  mtrag-8a19ee37ca-t2: search=no think=yes fallback=no 385 ms
  mtrag-41a4006bfa-t1: search=yes think=no fallback=no 529 ms
  mtrag-61374b240d-t5: search=yes think=yes fallback=no 1031 ms
  mtrag-535ebd3063-t3: search=yes think=yes fallback=no 1089 ms
  mtrag-13a398b300-t2: search=no think=yes fallback=no 387 ms
  mtrag-af5e45e59e-t4: search=yes think=yes fallback=no 1052 ms
  mtrag-d7b4f863ba-t6: search=yes think=no fallback=no 544 ms
  mtrag-2f94b6fb4c-t2: search=yes think=yes fallback=no 1100 ms
  mtrag-62888f39e7-t1: search=yes think=yes fallback=no 1352 ms
  mtrag-0208bf26ec-t3: search=yes think=yes fallback=no 880 ms
  mtrag-5815bb4a99-t2: search=yes think=yes fallback=no 795 ms
  mtrag-d44c3196b3-t1: search=yes think=yes fallback=no 708 ms
  mtrag-2cc753bcef-t5: search=yes think=yes fallback=no 1145 ms
  mtrag-1c041ce47a-t7: search=yes think=yes fallback=no 1079 ms
  mtrag-747a810abf-t1: search=yes think=yes fallback=no 998 ms
  mtrag-4751cd8210-t8: search=no think=yes fallback=no 412 ms
  mtrag-6a738cc02c-t1: search=yes think=yes fallback=no 670 ms
  mtrag-5503c6e98c-t6: search=yes think=yes fallback=no 889 ms
  mtrag-c6c3b02ca3-t8: search=yes think=yes fallback=no 953 ms
  mtrag-258193fc88-t9: search=yes think=yes fallback=no 1027 ms
  mtrag-f0d2873b87-t8: search=yes think=yes fallback=no 959 ms
  mtrag-20c2cbd18c-t1: search=no think=yes fallback=no 377 ms
  mtrag-33431330ab-t1: search=yes think=yes fallback=no 821 ms
  mtrag-e9dd465e8d-t2: search=no think=yes fallback=no 392 ms
  mtrag-aea2634b0e-t3: search=yes think=yes fallback=no 883 ms
  mtrag-79f0d0539d-t5: search=yes think=yes fallback=no 899 ms
  mtrag-f1121a39d8-t4: search=yes think=yes fallback=no 944 ms
  mtrag-927077bd89-t5: search=no think=no fallback=no 523 ms
  mtrag-adf9b1f61c-t7: search=yes think=yes fallback=no 1111 ms
  mtrag-6af5334fbd-t3: search=yes think=no fallback=no 652 ms
  mtrag-b2805ee4c4-t4: search=yes think=yes fallback=no 975 ms
  mtrag-81afaf82a0-t3: search=no think=yes fallback=no 531 ms
  mtrag-dcc0215a11-t4: search=yes think=yes fallback=no 528 ms
  mtrag-2b34f5e786-t4: search=yes think=yes fallback=no 1110 ms
  mtrag-04f83f1199-t1: search=yes think=yes fallback=no 1030 ms
  mtrag-4fb9958d3e-t5: search=yes think=yes fallback=no 935 ms
  mtrag-0ef145e499-t6: search=yes think=yes fallback=no 724 ms
  mtrag-91204c45fc-t1: search=yes think=yes fallback=no 899 ms
  mtrag-fdee20f7fd-t3: search=yes think=yes fallback=no 817 ms
  mtrag-72ba19c385-t8: search=yes think=yes fallback=no 1223 ms
  mtrag-251e29286c-t2: search=yes think=yes fallback=no 1032 ms
  mtrag-a6eab3f851-t2: search=yes think=yes fallback=no 1570 ms
  mtrag-f0d3086322-t8: search=yes think=yes fallback=no 1143 ms
  mtrag-5f9ccf0a4f-t4: search=yes think=yes fallback=no 1146 ms
  mtrag-f5a8ca2f2b-t9: search=yes think=no fallback=no 831 ms
  mtrag-fd99b316e5-t1: search=yes think=yes fallback=no 947 ms
  mtrag-2f484ad8f3-t4: search=yes think=yes fallback=no 770 ms
  mtrag-ddbbbe7ea1-t4: search=no think=yes fallback=no 442 ms
  mtrag-3a07680acf-t1: search=yes think=no fallback=no 1068 ms
  mtrag-d4d8edb3e0-t4: search=yes think=yes fallback=no 942 ms
  mtrag-29e3ec96a6-t5: search=yes think=no fallback=no 659 ms
  mtrag-e1b602e47d-t7: search=yes think=yes fallback=no 777 ms
  mtrag-e52ab8d5f6-t8: search=yes think=yes fallback=no 1090 ms
  mtrag-dc1aaac0b3-t5: search=yes think=yes fallback=no 925 ms
  mtrag-dc1aaac0b3-t8: search=yes think=yes fallback=no 946 ms
  mtrag-a6eab3f851-t3: search=no think=no fallback=no 386 ms
  mtrag-c01c8cf114-t7: search=yes think=yes fallback=no 764 ms
  mtrag-8040ccdfc0-t1: search=no think=no fallback=no 385 ms
  mtrag-8040ccdfc0-t5: search=no think=no fallback=no 381 ms
  mtrag-2f01333723-t9: search=yes think=yes fallback=no 1049 ms
  qrecc-132-t2: search=yes think=yes fallback=no 878 ms
  qrecc-2192-t5: search=yes think=yes fallback=no 1051 ms
  qrecc-2523-t4: search=yes think=no fallback=no 542 ms
  qrecc-239-t3: search=yes think=yes fallback=no 777 ms
  qrecc-2640-t2: search=yes think=yes fallback=no 707 ms
  qrecc-1199-t7: search=no think=no fallback=no 418 ms
  qrecc-1627-t6: search=yes think=yes fallback=no 1626 ms
  qrecc-1618-t6: search=yes think=yes fallback=no 773 ms
  qrecc-88-t3: search=no think=no fallback=no 393 ms
  qrecc-2598-t5: search=yes think=yes fallback=no 823 ms
  qrecc-1170-t3: search=yes think=yes fallback=no 1005 ms
  qrecc-211-t5: search=no think=yes fallback=no 432 ms
  qrecc-121-t2: search=yes think=no fallback=no 1135 ms
  qrecc-310-t6: search=no think=yes fallback=no 444 ms
  qrecc-237-t3: search=yes think=yes fallback=no 1579 ms
  qrecc-1796-t2: search=yes think=yes fallback=no 902 ms
  qrecc-365-t4: search=yes think=yes fallback=no 893 ms
  qrecc-2012-t4: search=yes think=yes fallback=no 647 ms
  qrecc-1783-t8: search=no think=yes fallback=no 442 ms
  qrecc-1620-t6: search=yes think=no fallback=no 564 ms
  qrecc-479-t2: search=yes think=no fallback=no 626 ms
  qrecc-1924-t3: search=yes think=yes fallback=no 804 ms
  qrecc-2269-t2: search=yes think=no fallback=no 641 ms
  qrecc-303-t7: search=yes think=yes fallback=no 1190 ms
  qrecc-1181-t5: search=yes think=yes fallback=no 749 ms
  qrecc-1001-t3: search=yes think=yes fallback=no 909 ms
  qrecc-186-t4: search=yes think=yes fallback=no 1055 ms
  qrecc-284-t2: search=yes think=yes fallback=no 783 ms
  qrecc-513-t2: search=yes think=yes fallback=no 1100 ms
  qrecc-1949-t5: search=no think=no fallback=no 411 ms
  qrecc-24-t7: search=yes think=yes fallback=no 610 ms
  qrecc-1923-t3: search=yes think=yes fallback=no 841 ms
  qrecc-2344-t4: search=yes think=yes fallback=no 1069 ms
  qrecc-2008-t4: search=yes think=yes fallback=no 829 ms
  qrecc-884-t8: search=yes think=yes fallback=no 1313 ms
  qrecc-2201-t3: search=yes think=yes fallback=no 1228 ms
  qrecc-26-t6: search=yes think=yes fallback=no 736 ms
  qrecc-2247-t2: search=no think=yes fallback=no 379 ms
  qrecc-159-t7: search=yes think=yes fallback=no 1021 ms
  qrecc-1437-t3: search=yes think=yes fallback=no 1134 ms
  qrecc-836-t4: search=yes think=yes fallback=no 1018 ms
  qrecc-337-t2: search=yes think=yes fallback=no 1184 ms
  qrecc-1063-t3: search=yes think=yes fallback=no 868 ms
  qrecc-2675-t3: search=no think=no fallback=no 491 ms
  qrecc-2229-t3: search=yes think=yes fallback=no 981 ms
  qrecc-641-t5: search=yes think=yes fallback=no 950 ms
  qrecc-1362-t2: search=yes think=yes fallback=no 1124 ms
  qrecc-1258-t4: search=no think=yes fallback=no 409 ms
  qrecc-79-t6: search=yes think=yes fallback=no 1011 ms
  qrecc-1906-t5: search=yes think=no fallback=no 579 ms
  qrecc-1611-t5: search=yes think=yes fallback=no 912 ms
  qrecc-2349-t2: search=yes think=yes fallback=no 1219 ms
  qrecc-2572-t3: search=yes think=yes fallback=no 964 ms
  qrecc-924-t4: search=yes think=yes fallback=no 807 ms
  qrecc-932-t3: search=yes think=yes fallback=no 622 ms
  qrecc-100-t5: search=yes think=yes fallback=no 1197 ms
  qrecc-380-t4: search=yes think=yes fallback=no 1398 ms
  qrecc-449-t4: search=yes think=yes fallback=no 974 ms
  qrecc-1422-t9: search=no think=no fallback=no 418 ms
  qrecc-1609-t5: search=yes think=yes fallback=no 1303 ms
  qrecc-457-t4: search=yes think=yes fallback=no 808 ms
  qrecc-1150-t2: search=yes think=yes fallback=no 872 ms
  qrecc-975-t6: search=no think=yes fallback=no 419 ms
  qrecc-763-t7: search=yes think=yes fallback=no 1543 ms
  qrecc-1914-t4: search=yes think=yes fallback=no 658 ms
  qrecc-651-t4: search=yes think=yes fallback=no 1258 ms
  qrecc-1613-t5: search=yes think=yes fallback=no 974 ms
  qrecc-579-t3: search=yes think=yes fallback=no 888 ms
  qrecc-257-t7: search=yes think=yes fallback=no 1207 ms
  qrecc-1303-t6: search=yes think=yes fallback=no 1243 ms
  qrecc-2080-t3: search=yes think=yes fallback=no 830 ms
  qrecc-1687-t5: search=no think=yes fallback=no 520 ms
  qrecc-522-t2: search=yes think=yes fallback=no 1584 ms
  qrecc-1392-t8: search=yes think=yes fallback=no 1132 ms
  qrecc-897-t2: search=yes think=no fallback=no 671 ms
  qrecc-883-t3: search=yes think=yes fallback=no 909 ms
  qrecc-1435-t4: search=yes think=yes fallback=no 954 ms
  qrecc-779-t3: search=yes think=no fallback=no 604 ms
  qrecc-775-t7: search=yes think=yes fallback=no 1398 ms
  qrecc-761-t6: search=yes think=yes fallback=no 957 ms
  qrecc-415-t7: search=yes think=yes fallback=no 1343 ms
  qrecc-1532-t5: search=yes think=yes fallback=no 1072 ms
  qrecc-722-t2: search=yes think=yes fallback=no 902 ms
  qrecc-2592-t2: search=no think=no fallback=no 394 ms
  qrecc-650-t5: search=yes think=no fallback=no 677 ms
  qrecc-724-t12: search=yes think=no fallback=no 619 ms
  qrecc-2257-t5: search=yes think=yes fallback=no 901 ms
  qrecc-874-t2: search=yes think=yes fallback=no 907 ms
  qrecc-827-t2: search=yes think=yes fallback=no 1220 ms
  qrecc-264-t6: search=yes think=yes fallback=no 930 ms
  qrecc-145-t3: search=yes think=yes fallback=no 724 ms
  qrecc-1474-t4: search=yes think=yes fallback=no 980 ms
  qrecc-2487-t4: search=yes think=yes fallback=no 896 ms
  qrecc-523-t4: search=yes think=yes fallback=no 1377 ms
  qrecc-1922-t3: search=yes think=no fallback=no 727 ms
  qrecc-2767-t5: search=yes think=yes fallback=no 1442 ms
  qrecc-413-t9: search=yes think=yes fallback=no 983 ms
  qrecc-698-t3: search=yes think=yes fallback=no 853 ms
  qrecc-1173-t3: search=yes think=yes fallback=no 1095 ms
  qrecc-1124-t3: search=no think=no fallback=no 404 ms
  qrecc-1673-t7: search=yes think=yes fallback=no 1089 ms
  qrecc-313-t6: search=yes think=yes fallback=no 1555 ms
  qrecc-1626-t3: search=yes think=yes fallback=no 766 ms
  qrecc-668-t4: search=yes think=no fallback=no 630 ms
  qrecc-87-t5: search=yes think=yes fallback=no 1338 ms
  qrecc-285-t2: search=yes think=yes fallback=no 820 ms
  qrecc-162-t11: search=no think=yes fallback=no 574 ms
  qrecc-2748-t4: search=yes think=yes fallback=no 815 ms
  qrecc-1240-t8: search=yes think=yes fallback=no 1030 ms
  qrecc-2074-t4: search=yes think=no fallback=no 600 ms
  qrecc-941-t6: search=no think=yes fallback=no 437 ms
planner fallback chat_id=None turn_index=None ValueError: no JSON object in planner reply
  qrecc-1550-t5: search=yes think=yes fallback=yes 1983 ms
  qrecc-985-t2: search=yes think=yes fallback=no 1161 ms
  qrecc-943-t2: search=yes think=yes fallback=no 1276 ms
  qrecc-949-t5: search=yes think=yes fallback=no 790 ms
  qrecc-616-t2: search=yes think=no fallback=no 698 ms
  qrecc-1847-t6: search=yes think=yes fallback=no 1081 ms
  qrecc-1154-t6: search=yes think=yes fallback=no 1108 ms
  qrecc-1789-t4: search=yes think=yes fallback=no 1076 ms
  qrecc-1127-t2: search=yes think=yes fallback=no 1050 ms
  qrecc-206-t5: search=yes think=yes fallback=no 1414 ms
  qrecc-1152-t3: search=yes think=yes fallback=no 879 ms
  qrecc-915-t4: search=yes think=yes fallback=no 536 ms
  qrecc-1188-t3: search=yes think=yes fallback=no 1229 ms
  qrecc-2548-t4: search=yes think=yes fallback=no 829 ms
  qrecc-854-t2: search=yes think=yes fallback=no 724 ms
  qrecc-1730-t4: search=yes think=yes fallback=no 942 ms
  qrecc-42-t6: search=yes think=yes fallback=no 1009 ms
  qrecc-694-t7: search=yes think=yes fallback=no 1070 ms
  qrecc-1791-t3: search=yes think=yes fallback=no 982 ms
  qrecc-945-t2: search=yes think=yes fallback=no 663 ms
  qrecc-2489-t2: search=yes think=yes fallback=no 1010 ms
  qrecc-21-t4: search=yes think=yes fallback=no 829 ms
  qrecc-1761-t3: search=yes think=yes fallback=no 777 ms
  qrecc-1894-t2: search=yes think=yes fallback=no 1339 ms
  qrecc-1638-t5: search=yes think=yes fallback=no 919 ms
  qrecc-956-t7: search=yes think=yes fallback=no 876 ms
  qrecc-29-t3: search=yes think=no fallback=no 623 ms
  qrecc-2502-t5: search=no think=yes fallback=no 418 ms
  qrecc-470-t6: search=yes think=yes fallback=no 1012 ms
  qrecc-2236-t5: search=yes think=no fallback=no 640 ms
  qrecc-2143-t3: search=yes think=yes fallback=no 1221 ms
  qrecc-1556-t3: search=yes think=no fallback=no 650 ms
  qrecc-1222-t6: search=yes think=yes fallback=no 1432 ms
  qrecc-1033-t7: search=yes think=yes fallback=no 695 ms
  qrecc-753-t6: search=yes think=yes fallback=no 1082 ms
  qrecc-1242-t2: search=yes think=yes fallback=no 839 ms
  qrecc-327-t4: search=yes think=yes fallback=no 1142 ms
  qrecc-2580-t3: search=yes think=yes fallback=no 842 ms
  qrecc-448-t4: search=yes think=yes fallback=no 1047 ms
  freshqa-250: search=no think=no fallback=no 385 ms
  freshqa-254: search=yes think=no fallback=no 720 ms
  freshqa-257: search=yes think=no fallback=no 582 ms
  freshqa-262: search=no think=no fallback=no 378 ms
  freshqa-263: search=yes think=no fallback=no 606 ms
  freshqa-272: search=yes think=no fallback=no 480 ms
  freshqa-277: search=yes think=no fallback=no 529 ms
  freshqa-278: search=no think=no fallback=no 384 ms
  freshqa-281: search=yes think=yes fallback=no 928 ms
  freshqa-283: search=yes think=yes fallback=no 784 ms
  freshqa-284: search=yes think=yes fallback=no 624 ms
  freshqa-287: search=no think=no fallback=no 392 ms
  freshqa-290: search=no think=no fallback=no 378 ms
  freshqa-294: search=yes think=yes fallback=no 815 ms
  freshqa-296: search=yes think=no fallback=no 502 ms
  freshqa-298: search=yes think=no fallback=no 548 ms
  freshqa-300: search=yes think=no fallback=no 708 ms
  freshqa-305: search=yes think=no fallback=no 605 ms
  freshqa-306: search=yes think=yes fallback=no 632 ms
  freshqa-307: search=yes think=no fallback=no 529 ms
  freshqa-309: search=no think=no fallback=no 391 ms
  freshqa-310: search=yes think=yes fallback=no 776 ms
  freshqa-313: search=yes think=no fallback=no 708 ms
  freshqa-316: search=no think=no fallback=no 378 ms
  freshqa-319: search=yes think=yes fallback=no 878 ms
  freshqa-322: search=yes think=yes fallback=no 947 ms
  freshqa-324: search=yes think=no fallback=no 746 ms
  freshqa-332: search=yes think=no fallback=no 491 ms
  freshqa-335: search=yes think=no fallback=no 575 ms
  freshqa-338: search=yes think=yes fallback=no 1079 ms
  freshqa-339: search=yes think=yes fallback=no 899 ms
  freshqa-341: search=yes think=yes fallback=no 1281 ms
  freshqa-342: search=yes think=yes fallback=no 880 ms
  freshqa-345: search=yes think=yes fallback=no 757 ms
  freshqa-347: search=yes think=no fallback=no 765 ms
  freshqa-351: search=yes think=yes fallback=no 1047 ms
  freshqa-353: search=yes think=yes fallback=no 727 ms
  freshqa-355: search=yes think=yes fallback=no 777 ms
  freshqa-358: search=yes think=yes fallback=no 1431 ms
  freshqa-366: search=yes think=yes fallback=no 784 ms
  freshqa-124: search=yes think=no fallback=no 738 ms
  freshqa-125: search=no think=no fallback=no 385 ms
  freshqa-131: search=yes think=no fallback=no 529 ms
  freshqa-132: search=yes think=no fallback=no 1004 ms
  freshqa-134: search=yes think=yes fallback=no 904 ms
  freshqa-135: search=yes think=yes fallback=no 947 ms
  freshqa-142: search=yes think=yes fallback=no 1050 ms
  freshqa-148: search=yes think=yes fallback=no 1315 ms
  freshqa-150: search=yes think=yes fallback=no 916 ms
  freshqa-152: search=yes think=no fallback=no 738 ms
  freshqa-154: search=yes think=no fallback=no 651 ms
  freshqa-155: search=yes think=yes fallback=no 833 ms
  freshqa-157: search=yes think=no fallback=no 613 ms
  freshqa-164: search=yes think=yes fallback=no 972 ms
  freshqa-165: search=yes think=yes fallback=no 974 ms
  freshqa-166: search=yes think=no fallback=no 643 ms
  freshqa-175: search=yes think=yes fallback=no 821 ms
  freshqa-180: search=yes think=no fallback=no 1042 ms
  freshqa-181: search=yes think=yes fallback=no 1013 ms
  freshqa-185: search=yes think=no fallback=no 613 ms
  freshqa-187: search=no think=no fallback=no 378 ms
  freshqa-190: search=yes think=yes fallback=no 662 ms
  freshqa-193: search=yes think=no fallback=no 1000 ms
  freshqa-194: search=yes think=yes fallback=no 928 ms
  freshqa-196: search=yes think=yes fallback=no 1107 ms
  freshqa-202: search=yes think=no fallback=no 613 ms
  freshqa-204: search=yes think=no fallback=no 624 ms
  freshqa-205: search=yes think=no fallback=no 537 ms
  freshqa-209: search=yes think=no fallback=no 643 ms
  freshqa-214: search=yes think=yes fallback=no 1011 ms
  freshqa-216: search=yes think=yes fallback=no 613 ms
  freshqa-217: search=yes think=yes fallback=no 897 ms
  freshqa-224: search=yes think=yes fallback=no 880 ms
  freshqa-226: search=yes think=yes fallback=no 1023 ms
  freshqa-227: search=yes think=yes fallback=no 994 ms
